"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"70362125516","2020-01-01T06:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.09","0","6","T","-SN:03 |SN |",,,"76","29.09","OVC:08 21","29.06","1.25","5","190","21","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11601/01/20 06:53:02 METAR PASO 011553Z 19009G18KT 1 1/4SM -SN OVC021 M14/M18 A2909 RMK AO2 SLP852 P0000 T11441178 TSNO","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T07:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.11","0","6","T","-SN:03 |SN |",,,"76","29.11","OVC:08 17","29.08","1.25","5","VRB","20","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11601/01/20 07:53:02 METAR PASO 011653Z 20010G17KT 1 1/4SM -SN OVC017 M14/M18 A2911 RMK AO2 SLP858 P0000 T11441178 TSNO","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T08:06:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.12","0","6","T","-SN:03 |SN |",,,"76",,"VV:09 15","29.09","0.75","5","190","24","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10601/01/20 08:06:02 SPECI PASO 011706Z 19009G21KT 3/4SM -SN VV015 M14/M18 A2912 RMK AO2 P0000 T11441178 TSNO","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T08:28:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.13","0","6","T","-SN:03 |SN |",,,"76",,"VV:09 14","29.10","0.75","5","VRB","23","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10601/01/20 08:28:02 SPECI PASO 011728Z 19008G20KT 3/4SM -SN VV014 M14/M18 A2913 RMK AO2 P0000 T11441178 TSNO","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T08:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.14","1","6","T","-SN:03 |SN |","-0.05","1","79","29.14","VV:09 13","29.11","0.75","5","VRB","22","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13701/01/20 08:53:02 METAR PASO 011753Z 21011G19KT 3/4SM -SN VV013 M14/M17 A2914 RMK AO2 SLP869 P0000 60000 T11441172 11139 21144 51017 TSNO","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T09:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.18","1","6","0.00","HZ:7 |FU |HZ",,,"79","29.18","VV:09 12","29.15","0.75","5","200",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13001/01/20 09:53:02 METAR PASO 011853Z 20009KT 3/4SM HZ VV012 M14/M17 A2918 RMK AO2 SNEMM SLP881 P0000 T11441172 PWINO FZRANO TSNO $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T10:41:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.20","0","5",,"HZ:7 |FU |HZ",,,"79",,"VV:09 12","29.17","1.00","4","210",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10901/01/20 10:41:02 SPECI PASO 011941Z 21007KT 1SM HZ VV012 M15/M18 A2920 RMK AO2 T11501178 PWINO FZRANO TSNO $","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T10:51:00","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.21","0","5",,"HZ:7 ||HZ",,,"78",,"VV:09 12","29.18","0.75","4","180","20","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10901/01/20 10:51:02 SPECI PASO 011951Z 18009G17KT 3/4SM HZ VV012 M15/M18 A2921 RMK AO2 PWINO FZRANO TSNO $ FIBI","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T10:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.21","-1","5","0.00","HZ:7 |FU |HZ",,,"76","29.21","VV:09 12","29.18","0.75","4","VRB","20","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12101/01/20 10:53:02 METAR PASO 011953Z 19008G17KT 3/4SM HZ VV012 M15/M18 A2921 RMK AO2 SLP892 T11501183 PWINO FZRANO TSNO $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T11:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.24","1","6","0.00","HZ:7 s |FU |HZ s","-0.09","1","79","29.24","VV:09 12","29.21","0.50s","5","190",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13001/01/20 11:53:02 METAR PASO 012053Z 19008KT 1/2SM HZ VV012 M14/M17 A2924 RMK AO2 SLP901 60000 T11441172 51032 PWINO FZRANO TSNO $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
